epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9908,1.70408,2.57959,1.8727,0.58557,0.62224,0.60713,0.29412,1.67456,1.566,1.62986,0.00330435,0.00330435,0.00330435
2,125.059,1.47808,1.71026,1.64355,0.50913,0.40759,0.37203,0.15907,2.0875,1.95988,1.99411,0.00660482,0.00660482,0.00660482
3,181.625,1.59376,1.88905,1.75144,0.15083,0.34462,0.09318,0.0364,2.2466,12.3267,2.47887,0.0098723,0.0098723,0.0098723
4,238.149,1.69144,2.18312,1.87059,0.21237,0.33508,0.14088,0.05555,2.08862,6.30065,2.1916,0.0098515,0.0098515,0.0098515
5,294.718,1.63254,2.02169,1.8272,0.43449,0.38586,0.33546,0.1271,2.27415,3.96508,2.30685,0.009802,0.009802,0.009802
6,351.187,1.56034,1.85984,1.76641,0.50741,0.40806,0.39224,0.18214,1.91698,2.37037,1.96027,0.0097525,0.0097525,0.0097525
7,407.793,1.52946,1.74817,1.74409,0.61222,0.5518,0.54095,0.26423,1.85299,1.86378,1.90043,0.009703,0.009703,0.009703
8,464.338,1.49009,1.69096,1.70933,0.62823,0.5664,0.5665,0.26931,1.8281,1.58459,1.8791,0.0096535,0.0096535,0.0096535
9,520.779,1.46337,1.58915,1.68771,0.59837,0.5472,0.56206,0.27881,1.87519,1.57308,1.86728,0.009604,0.009604,0.009604
10,577.41,1.41297,1.51026,1.65503,0.72137,0.60128,0.65202,0.31646,1.74591,1.50997,1.80639,0.0095545,0.0095545,0.0095545
11,634.275,1.39507,1.44664,1.63181,0.69871,0.56615,0.61175,0.29479,1.78838,1.53884,1.84504,0.009505,0.009505,0.009505
12,690.875,1.36333,1.38607,1.61037,0.79424,0.57526,0.67733,0.34205,1.68888,1.35756,1.73129,0.0094555,0.0094555,0.0094555
13,747.703,1.34035,1.32869,1.58685,0.67748,0.66706,0.66439,0.34238,1.69725,1.38211,1.76807,0.009406,0.009406,0.009406
14,804.321,1.31823,1.27759,1.56995,0.76023,0.66161,0.68763,0.35611,1.65178,1.25214,1.71044,0.0093565,0.0093565,0.0093565
15,861.012,1.29763,1.24719,1.54196,0.77707,0.65432,0.72653,0.38451,1.66084,1.27617,1.72513,0.009307,0.009307,0.009307
16,917.892,1.28465,1.22327,1.54239,0.67312,0.69323,0.66858,0.35333,1.70453,1.35649,1.73069,0.0092575,0.0092575,0.0092575
17,974.54,1.25698,1.16612,1.51307,0.74113,0.63219,0.68046,0.36439,1.65827,1.31013,1.74576,0.009208,0.009208,0.009208
18,1030.91,1.24751,1.15518,1.50566,0.72248,0.66227,0.69403,0.36705,1.6715,1.30023,1.75203,0.0091585,0.0091585,0.0091585
19,1087.16,1.22365,1.12826,1.49174,0.76562,0.66366,0.75021,0.41335,1.59339,1.16264,1.68293,0.009109,0.009109,0.009109
20,1143.84,1.21476,1.09842,1.48558,0.76999,0.6924,0.74272,0.38676,1.62898,1.19524,1.68661,0.0090595,0.0090595,0.0090595
21,1200.25,1.20385,1.06353,1.46969,0.71242,0.67466,0.71136,0.40026,1.6196,1.22132,1.69855,0.00901,0.00901,0.00901
22,1256.97,1.18965,1.05747,1.47156,0.76522,0.65892,0.72395,0.40326,1.56817,1.15136,1.6714,0.0089605,0.0089605,0.0089605
23,1313.43,1.17711,1.02641,1.45465,0.77508,0.69077,0.73609,0.41668,1.59355,1.17246,1.65673,0.008911,0.008911,0.008911
24,1370,1.16547,1.01111,1.44073,0.74259,0.70025,0.75062,0.40425,1.64446,1.14069,1.67502,0.0088615,0.0088615,0.0088615
25,1426.37,1.14488,0.97847,1.42524,0.78204,0.69398,0.74948,0.40735,1.60963,1.13583,1.66972,0.008812,0.008812,0.008812
26,1483.01,1.14203,0.97688,1.42756,0.77994,0.68944,0.7509,0.40697,1.65939,1.16116,1.73732,0.0087625,0.0087625,0.0087625
27,1539.53,1.11447,0.93217,1.39554,0.76778,0.70468,0.73492,0.40047,1.61767,1.17668,1.69933,0.008713,0.008713,0.008713
28,1596.09,1.11701,0.93523,1.40257,0.73198,0.71833,0.75379,0.41229,1.6136,1.07976,1.72308,0.0086635,0.0086635,0.0086635
29,1652.47,1.09551,0.89978,1.38638,0.79785,0.6813,0.74843,0.4162,1.59126,1.21854,1.65718,0.008614,0.008614,0.008614
30,1709.34,1.0896,0.89964,1.37969,0.77928,0.67213,0.75462,0.42466,1.5822,1.15832,1.65729,0.0085645,0.0085645,0.0085645
31,1766,1.07294,0.88319,1.37319,0.77017,0.74884,0.78574,0.42923,1.62166,1.05993,1.72267,0.008515,0.008515,0.008515
32,1822.57,1.07855,0.87767,1.37411,0.77877,0.71647,0.7558,0.42761,1.57168,1.09725,1.65839,0.0084655,0.0084655,0.0084655
33,1879.01,1.06434,0.85917,1.36154,0.80944,0.66723,0.75136,0.42601,1.57803,1.18374,1.6926,0.008416,0.008416,0.008416
34,1935.44,1.05268,0.84819,1.35224,0.78242,0.68631,0.75104,0.42569,1.5895,1.12934,1.68951,0.0083665,0.0083665,0.0083665
35,1991.93,1.04578,0.83739,1.34437,0.82797,0.69312,0.778,0.44451,1.55207,1.14161,1.66014,0.008317,0.008317,0.008317
36,2048.67,1.03013,0.82172,1.33604,0.7966,0.69054,0.76361,0.43519,1.53823,1.09335,1.65756,0.0082675,0.0082675,0.0082675
